Species,Total_protein,Total_IDP
Ceraceosorus_guamensis, 7822, 4319
Ceratocystis_platani, 5622, 2782
Cercospora_berteroae, 11903, 5586
Cercospora_beticola, 12468, 5813
Cercospora_zeina, 10193, 5053
Chaetomium_globosum, 11048, 5989
Chaetomium_thermophilum, 7165, 4043
Choanephora_cucurbitarum, 11977, 3974
Cladophialophora_bantiana, 12762, 5267
Cladophialophora_carrionii, 10373, 5013
Cladophialophora_carrionii, 11181, 5485
Cladophialophora_immunda, 14033, 6381
Cladophialophora_psammophila, 13421, 5170
Cladophialophora_yegresii, 10118, 4825
Claviceps_purpurea, 8823, 4239
Clavispora_lusitaniae, 5936, 2172
Clavispora_lusitaniae, 5537, 2104
Clohesyomyces_aquaticus, 15811, 6028
Coccidioides_immitis, 10593, 4188
Coccidioides_immitis, 10408, 4340
Coccidioides_immitis, 10463, 4135
Coccidioides_immitis, 9910, 4279
Coccidioides_posadasii, 7229, 3599
Coccidioides_posadasii, 9964, 4201
Coccidioides_posadasii, 10228, 4251
Colletotrichum_chlorophyti, 10310, 4413
Colletotrichum_fioriniae, 13759, 5937
Colletotrichum_gloeosporioides, 15381, 5752
Colletotrichum_gloeosporioides, 16538, 5540
Colletotrichum_graminicola, 12020, 5131
Colletotrichum_higginsianum, 16141, 5899
Colletotrichum_higginsianum, 14651, 6254
Colletotrichum_incanum, 12809, 5403
Colletotrichum_incanum, 11852, 4773
Colletotrichum_nymphaeae, 14404, 6115
Colletotrichum_orbiculare, 13346, 5609
Colletotrichum_orchidophilum, 14496, 5966
Colletotrichum_salicis, 13783, 5910
Colletotrichum_simmondsii, 13884, 5974
Colletotrichum_sublineola, 12699, 5799
Colletotrichum_tofieldiae, 12501, 5406
Conidiobolus_coronatus, 10572, 2120
Coniella_lustricola, 11314, 4856
Coniochaeta_ligniaria, 13658, 5733
Coniophora_puteana, 1013, 356
Coniosporium_apollinis, 9308, 4459
Coprinopsis_cinerea, 13356, 6041
Cordyceps_brongniartii, 9595, 4357
Cordyceps_confragosa, 8126, 3568
Cordyceps_confragosa, 11030, 4664
Cordyceps_fumosorosea, 10061, 4622
Cordyceps_militaris, 9651, 4269
Cordyceps_sp, 11255, 5489
Corynespora_cassiicola, 17158, 6433
Cryptococcus_amylolentus, 10306, 5398
Cryptococcus_amylolentus, 8176, 4376
Cryptococcus_depauperatus, 6537, 3215
Cryptococcus_depauperatus, 6373, 3192
Cryptococcus_gattii, 6683, 3336
Cryptococcus_gattii, 6634, 3344
Cryptococcus_gattii, 6732, 3420
Cryptococcus_gattii, 6763, 3412
Cryptococcus_gattii, 6744, 3430
Cryptococcus_gattii, 6757, 3417
Cryptococcus_gattii, 6495, 3330
Cryptococcus_gattii, 6488, 3319
Cryptococcus_gattii, 6481, 3339
Cryptococcus_gattii, 6485, 3326
Cryptococcus_gattii, 6497, 3326
Cryptococcus_gattii, 6475, 3312
Cryptococcus_gattii, 6472, 3315
Cryptococcus_gattii, 6463, 3309
Cryptococcus_gattii, 6696, 3334
Cryptococcus_gattii, 6565, 3376
Cryptococcus_neoformans, 6863, 3640
Cryptococcus_neoformans, 6939, 3592
Cryptococcus_neoformans, 7114, 3632
Cryptococcus_neoformans, 6915, 3574
Cryptococcus_neoformans, 7144, 3649
Cryptococcus_neoformans, 6878, 3542
Cryptococcus_neoformans, 6969, 3569
Cryptococcus_neoformans, 6862, 3555
Cryptococcus_neoformans, 6945, 3581
Cryptococcus_neoformans, 6906, 3567
Cryptococcus_neoformans, 6917, 3577
Cryptococcus_neoformans, 6907, 3563
Cryptococcus_neoformans, 6914, 3566
Cryptococcus_neoformans, 6900, 3565
Cryptococcus_neoformans, 6932, 3585
Cryptococcus_neoformans, 6900, 3542
Cryptococcus_neoformans, 6961, 3588
Cryptococcus_neoformans, 6960, 3569
Cryptococcus_neoformans, 6895, 3550
Cryptococcus_neoformans, 6908, 3593
Cryptococcus_neoformans, 7037, 3596
Cryptococcus_neoformans, 7818, 4033
Cryptococcus_neoformans, 6840, 3519
Cryptococcus_neoformans, 6996, 3577
Cryptococcus_neoformans, 6969, 3577
